,x,y
0,669,355
1,323,328
2,170,264
3,88,232
4,64,234
5,57,270
6,56,297
7,62,326
8,70,344
9,81,368
10,92,390
11,107,414
12,119,436
13,138,461
14,149,488
15,167,518
16,187,535
17,218,548
18,237,536
19,262,524
20,281,512
21,297,497
22,313,480
23,326,466
24,345,448
25,370,429
26,385,410
27,402,394
28,417,376
29,440,361
30,460,348
31,486,342
32,507,350
33,529,360
34,553,371
35,571,383
36,592,396
37,609,414
38,626,433
39,649,450
40,665,472
41,687,490
42,704,513
43,724,536
44,744,558
45,763,575
46,788,580
47,810,582
48,834,578
49,851,579
50,871,572
51,892,565
52,912,561
53,931,554
54,950,542
55,966,536
56,985,526
57,1005,522
58,1028,517
59,1045,515
60,1066,513
61,1090,515
62,1108,513
63,1117,544
64,1145,530
65,1165,533
66,1186,540
67,1198,548
68,1215,555
69,1231,557
70,1243,563
71,1252,567
72,1259,576
73,1266,584
74,1240,566
75,1220,549
76,1192,533
77,1163,517
78,1135,502
79,1107,487
80,1087,476
81,1076,464
82,1066,460
83,1061,461
84,1059,461
85,1059,461
86,1059,461
87,1061,460
88,1061,455
